ID_lekarza;Imie;Nazwisko;Specjalizacja
1;Eric;Stewart;neurolog
2;Jason;Li;ginekolog
3;Ashley;Glover;kardiolog
4;Ashley;Clark;pediatra
5;Mary;Brown;chirurg
6;David;Campbell;endokrynolog
7;Mary;Wilson;radiolog
8;Carlos;Duke;radiolog
9;Maria;Calhoun;dermatolog
10;Jamie;Nicholson;chirurg
11;Jessica;Mack;dermatolog
12;Benjamin;Park;radiolog
13;Shawn;Lane;pediatra
14;Tanya;Sullivan;ortopeda
15;Troy;Coleman;pediatra
16;Melissa;Fitzgerald;dermatolog
17;Brandy;Vega;kardiolog
18;Ryan;Drake;kardiolog
19;Nicole;Thornton;endokrynolog
20;Natalie;Smith;radiolog
21;Benjamin;Garcia;radiolog
22;Martin;Martinez;kardiolog
23;Elizabeth;Page;ortopeda
24;William;Jackson;ginekolog
25;Jasmine;Griffith;psychiatra
26;Rachel;Mcgee;dermatolog
27;Eric;Keller;psychiatra
28;Christopher;Ford;pediatra
29;Rhonda;Cruz;pediatra
30;Richard;Glass;ortopeda
