Id;Imie;Nazwisko;Stopien
1;Oliwier;Wiekiera;Porucznik
2;Sonia;Machon;Podporucznik
3;Stefan;Mzyk;Podporucznik
4;Lidia;Skrobot;Kapitan
5;Dawid;Podsiedlik;Podporucznik
6;Kalina;Sadej;Kapitan
7;Elzbieta;Kopiczko;Kapitan
8;Aleksander;Grygorowicz;Podporucznik
9;Elzbieta;Rubacha;Podporucznik
10;Konrad;Hanzel;Porucznik
11;Radoslaw;Krauz;Kapral
12;Julian;Szygula;Porucznik
13;Karol;Piksa;Szeregowy
14;Aleks;Strzala;Porucznik
15;Artur;Skomra;Szeregowy
16;Nela;Sobel;Podporucznik
17;Wiktor;Luczka;Podporucznik
18;Tobiasz;Pietrusiak;Kapitan
19;Angelika;Cybul;Kapral
20;Stanislaw;Nurkiewicz;Podporucznik
21;Marcel;Babel;Podporucznik
22;Gabriel;Ogonek;Porucznik
23;Stefan;Smagacz;Kapitan
24;Leon;Dobosiewicz;Szeregowy
25;Ewa;Jancewicz;Porucznik
26;Aurelia;Zoltek;Major
27;Sebastian;Kurach;Kapral
28;Julianna;Kopik;Kapral
29;Robert;Brejnak;Szeregowy
30;Tadeusz;Goska;Podporucznik
31;Grzegorz;Hrynkiewicz;Podporucznik
32;Bruno;Wojcikiewicz;Major
33;Marika;Peciak;Podporucznik
34;Julian;Podsiedlik;Szeregowy
35;Olga;Swieton;Porucznik
36;Olaf;Apostel;Porucznik
37;Adrianna;Skonieczka;Podporucznik
38;Jerzy;Maszkiewicz;Porucznik
39;Marcel;Such;Kapitan
40;Igor;Swic;Major
41;Marianna;Lempart;Szeregowy
42;Kamil;Krakowczyk;Major
43;Natan;Rodzen;Kapitan
44;Kazimierz;Krystkowiak;Major
45;Kamila;Chowaniak;Kapitan
46;Justyna;Anton;Major
47;Ida;Kargol;Podporucznik
48;Maurycy;Blaszyk;Porucznik
49;Jan;Kurczab;Major
50;Maksymilian;Wyrwal;Szeregowy
51;Milosz;Stachewicz;Kapral
52;Krzysztof;Mlynczyk;Porucznik
53;Gabriel;Jasko;Major
54;Tadeusz;Debniak;Kapral
55;Aurelia;Laskus;Kapral
56;Szymon;Zbroszczyk;Kapral
57;Sonia;Kosno;Podporucznik
58;Oskar;Szajek;Porucznik
59;Norbert;Grzywnowicz;Szeregowy
60;Leonard;Kosz;Major
61;Kalina;Wawrzyk;Kapitan
62;Jakub;Janke;Szeregowy
63;Jan;Kremer;Podporucznik
64;Rafal;Idec;Kapitan
65;Cezary;Dzikiewicz;Podporucznik
66;Gaja;Plak;Kapral
67;Leonard;Jenek;Kapitan
68;Marcel;Drobek;Kapral
69;Tobiasz;Plich;Podporucznik
70;Roza;Knysak;Kapitan
71;Julita;Saternus;Podporucznik
72;Iwo;Dusik;Kapitan
73;Tomasz;Troc;Szeregowy
74;Nikodem;Maruszczyk;Major
75;Franciszek;Behrendt;Szeregowy
76;Adrianna;Rzezniczak;Porucznik
77;Karina;Cholody;Podporucznik
78;Damian;Dziechciarz;Kapral
79;Ida;Opoka;Kapral
80;Fryderyk;Sobel;Kapitan
81;Jeremi;Janoszka;Porucznik
82;Patryk;Penkala;Kapral
83;Marianna;Kosak;Szeregowy
84;Artur;Sierzant;Kapitan
85;Bartek;Stawczyk;Major
86;Mateusz;Lizon;Szeregowy
87;Aleks;Grabias;Kapral
88;Cezary;Uroda;Major
89;Olaf;Stawinoga;Porucznik
90;Ryszard;Smyl;Kapitan
91;Jerzy;Krauza;Podporucznik
92;Roksana;Rzeszut;Podporucznik
93;Albert;Grabara;Major
94;Adam;Bejm;Podporucznik
95;Grzegorz;Mueller;Podporucznik
96;Marek;Powierza;Podporucznik
97;Ida;Ziecik;Major
98;Nataniel;Wichary;Kapral
99;Monika;Piersa;Porucznik
100;Kalina;Pik;Major
101;Sonia;Procek;Major
102;Damian;Rapa;Porucznik
